,subject_1,subject_2,subject_3,gender
0,1,5,9,0
1,44,5,84,1
2,47,25,19,0
3,70,98,54,1
4,55,93,73,1
5,31,96,1,1
6,70,65,78,1
7,50,81,67,1
8,3,55,56,1
9,71,51,6,0
10,12,14,74,1
11,5,82,59,1
12,97,85,87,1
13,67,96,42,1
14,37,91,14,1
15,20,12,39,0
16,22,49,70,1
17,36,33,25,0
18,94,97,91,1
19,18,23,34,0
20,86,4,43,1
21,24,66,63,1
22,3,23,21,0
23,41,58,75,1
24,72,99,41,1
25,74,2,34,0
26,20,70,49,1
27,40,8,47,0
28,60,1,72,1
29,49,50,89,1
30,77,24,84,1
31,46,81,35,1
32,54,15,45,0
33,59,47,12,0
34,28,27,49,1
35,71,76,73,1
36,60,16,53,1
37,46,71,77,1
38,58,69,91,1
39,96,69,72,1
40,73,47,17,0
41,11,75,43,1
42,36,90,43,1
43,47,52,25,1
44,30,56,33,1
45,90,99,21,1
46,19,82,39,1
47,35,31,76,1
48,40,4,48,0
49,76,47,31,1
50,36,26,48,1
51,67,17,4,0
52,60,10,78,1
53,73,39,55,1
54,81,96,77,1
55,57,15,75,1
56,28,67,18,0
57,64,42,51,1
58,51,23,31,0
59,17,31,96,1
60,35,21,82,1
61,68,18,82,1
62,91,1,65,1
63,41,93,23,1
64,48,57,49,1
65,68,46,47,1
66,87,92,69,1
67,43,97,52,1
68,60,25,92,1
69,51,40,18,0
70,89,52,41,1
71,4,43,41,0
72,36,44,59,1
73,57,96,52,1
74,72,91,91,1
75,39,7,89,1
76,74,3,12,0
77,1,55,17,0
78,92,13,34,0
79,62,27,18,0
80,47,79,3,0
81,22,57,54,1
82,85,37,6,0
83,61,73,25,1
84,94,95,13,1
85,46,3,65,1
86,46,48,1,0
87,67,3,67,1
88,10,38,6,0
89,88,42,28,1
90,1,43,58,1
91,38,78,48,1
92,22,29,65,1
93,84,16,98,1
94,39,73,79,1
95,96,36,1,0
96,46,21,61,1
97,58,46,53,1
98,31,25,42,0
99,71,53,44,1
100,16,26,56,1
101,9,2,80,1
102,84,72,9,1
103,10,19,44,0
104,44,73,78,1
105,76,80,60,1
106,72,78,66,1
107,80,12,93,1
108,30,60,12,0
109,23,46,67,1
110,82,5,49,1
111,32,80,77,1
112,92,59,46,1
113,60,91,4,1
114,44,4,85,1
115,85,18,66,1
116,86,31,81,1
117,54,16,34,0
118,36,84,25,1
119,52,40,91,1
120,72,83,95,1
121,99,94,75,1
122,36,26,95,1
123,30,40,2,0
124,67,9,99,1
125,19,10,12,0
126,99,41,87,1
127,74,78,33,1
128,68,81,87,1
129,13,37,7,0
130,14,17,94,1
131,81,85,86,1
132,25,72,99,1
133,54,55,57,1
134,82,97,60,1
135,75,30,77,1
136,32,4,93,1
137,78,35,80,1
138,93,17,85,1
139,44,2,71,1
140,80,27,12,0
141,99,45,14,1
142,76,66,11,1
143,19,62,94,1
144,17,69,75,1
145,67,34,34,1
146,52,79,69,1
147,31,49,82,1
148,26,98,2,1
149,67,54,53,1
150,49,91,54,1
151,23,78,49,1
152,28,48,39,1
153,40,40,79,1
154,23,16,13,0
155,20,37,31,0
156,9,45,37,0
157,5,30,89,1
158,95,6,78,1
159,98,89,69,1
160,71,10,48,1
161,27,88,7,1
162,8,42,15,0
163,66,45,61,1
164,83,67,9,1
165,76,63,60,1
166,75,79,62,1
167,20,95,11,1
168,93,83,20,1
169,35,93,13,1
170,21,74,52,1
171,11,45,29,0
172,52,70,56,1
173,34,61,19,0
174,24,68,54,1
175,76,94,35,1
176,1,51,19,0
177,45,38,68,1
178,41,77,31,1
179,70,79,56,1
180,19,65,31,1
181,27,32,67,1
182,92,82,94,1
183,38,51,23,0
184,50,32,26,0
185,27,28,38,0
186,94,29,32,1
187,18,86,99,1
188,49,16,4,0
189,32,52,32,1
190,71,73,33,1
191,29,83,95,1
192,96,80,53,1
193,1,90,74,1
194,12,96,46,1
195,95,33,43,1
196,15,9,50,0
197,92,24,91,1
198,10,55,54,1
199,31,86,41,1
200,86,61,82,1
201,10,26,45,0
202,51,95,31,1
203,76,10,77,1
204,81,47,60,1
205,66,20,56,1
206,60,52,97,1
207,17,95,58,1
208,79,49,27,1
209,70,57,25,1
210,76,37,13,0
211,73,45,4,0
212,23,50,74,1
213,26,40,9,0
214,4,25,39,0
215,57,44,37,1
216,98,84,58,1
217,67,21,85,1
218,28,89,41,1
219,16,1,9,0
220,8,7,68,1
221,54,50,59,1
222,12,1,34,0
223,38,5,55,0
224,39,6,69,1
225,3,19,86,1
226,35,17,20,0
227,97,9,31,0
228,80,75,61,1
229,83,78,41,1
230,4,21,93,1
231,45,34,37,1
232,52,87,86,1
233,65,45,29,1
234,76,98,28,1
235,54,13,47,1
236,24,10,39,0
237,48,41,33,1
238,76,67,50,1
239,1,15,26,0
240,92,9,75,1
241,41,63,16,0
242,54,14,34,0
243,14,66,89,1
244,69,95,32,1
245,4,17,26,0
246,6,1,91,1
247,87,50,95,1
248,57,9,74,1
249,28,76,59,1
250,37,45,53,1
251,82,61,86,1
252,29,10,25,0
253,58,63,31,1
254,42,20,33,0
255,25,58,87,1
256,55,66,12,1
257,11,86,71,1
258,13,55,3,0
259,15,57,16,0
260,22,74,24,1
261,9,13,22,0
262,64,20,62,1
263,15,77,12,0
264,50,23,16,0
265,59,81,28,1
266,43,91,38,1
267,97,40,82,1
268,59,39,20,0
269,18,72,76,1
270,43,92,33,1
271,67,10,20,0
272,45,76,36,1
273,34,94,81,1
274,83,74,19,1
275,93,14,48,1
276,1,1,17,0
277,23,38,16,0
278,77,87,10,1
279,84,64,84,1
280,31,45,96,1
281,75,49,95,1
282,76,76,45,1
283,54,77,26,1
284,9,98,41,1
285,48,89,19,1
286,67,80,53,1
287,78,40,25,1
288,66,83,87,1
289,74,16,81,1
290,92,40,27,1
291,15,39,76,1
292,44,39,90,1
293,73,91,18,1
294,64,67,75,1
295,61,53,53,1
296,53,64,7,0
297,48,77,51,1
298,96,73,13,1
299,47,84,53,1
300,2,77,29,1
301,61,16,65,1
302,95,12,92,1
303,59,61,96,1
304,12,83,36,1
305,61,16,30,0
306,98,91,42,1
307,74,52,48,1
308,11,28,99,1
309,95,46,44,1
310,56,85,35,1
311,96,35,55,1
312,83,31,62,1
313,1,74,35,1
314,38,34,69,1
315,91,84,67,1
316,86,23,94,1
317,86,30,52,1
318,20,76,85,1
319,63,81,12,1
320,87,27,51,1
321,20,89,49,1
322,86,14,54,1
323,91,44,30,1
324,57,88,91,1
325,91,32,35,1
326,40,15,54,1
327,75,86,39,1
328,60,84,25,1
329,84,17,53,1
330,24,2,33,0
331,27,15,8,0
332,45,10,53,1
333,88,42,77,1
334,39,30,92,1
335,71,4,55,1
336,16,44,18,0
337,13,98,99,1
338,1,35,58,1
339,63,42,87,1
340,50,24,91,1
341,44,11,99,1
342,95,12,27,0
343,66,14,4,0
344,23,56,40,1
345,12,63,98,1
346,57,85,26,1
347,66,30,10,0
348,48,14,78,1
349,35,81,14,1
350,67,15,60,1
351,67,90,39,1
352,34,40,63,1
353,6,32,96,1
354,6,37,39,0
355,39,58,67,1
356,89,56,18,1
357,72,83,11,1
358,42,13,51,1
359,99,71,34,1
360,59,13,37,0
361,17,96,95,1
362,37,63,32,1
363,33,94,69,1
364,47,89,71,1
365,58,13,91,1
366,28,10,86,1
367,1,73,63,1
368,22,38,32,0
